,CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore
0,17850,299,0,312,1,$48 K,0,1
1,15808,303,0,210,1,$38 K,0,1
2,13448,13,3,199,1,$44 K,0,4
3,14388,5,3,191,1,$50 K,0,4
4,14449,15,3,258,1,$21 K,0,4
5,15708,37,3,297,1,$35 K,0,4
6,14810,37,3,255,1,$30 K,0,4
7,17059,26,3,516,1,$45 K,0,4
8,16393,8,3,329,1,$37 K,0,4
9,15426,16,3,300,1,$19 K,0,4
10,13174,13,3,314,1,$41 K,0,4
11,16710,16,3,402,1,$46 K,0,4
12,17191,25,3,237,1,$31 K,0,4
13,17228,12,3,208,1,$41 K,0,4
14,15750,12,3,276,1,$43 K,0,4
15,16255,13,3,274,1,$42 K,0,4
16,14419,7,3,206,1,$16 K,0,4
17,18109,4,3,441,1,$47 K,0,4
18,17231,9,3,546,1,$47 K,0,4
19,17372,37,3,253,1,$20 K,0,4
20,17346,0,3,503,1,$51 K,0,4
21,15532,22,3,263,1,$14 K,0,4
22,18077,5,3,227,1,$48 K,0,4
23,16686,44,3,588,1,$50 K,0,4
24,17975,12,3,297,1,$45 K,0,4
25,15984,1,3,266,1,$31 K,0,4
26,14702,5,3,321,1,$37 K,0,4
27,17218,1,3,274,1,$24 K,0,4
28,17965,34,3,329,1,$41 K,0,4
29,14587,15,3,384,1,$21 K,0,4
30,12553,5,3,196,1,$51 K,0,4
31,15033,1,3,513,1,$45 K,0,4
32,15296,41,3,200,1,$41 K,0,4
33,14572,37,3,269,1,$35 K,0,4
34,17238,4,3,554,1,$46 K,0,4
35,17799,19,3,410,1,$48 K,0,4
36,13742,13,3,323,1,$30 K,0,4
37,14659,5,3,259,1,$35 K,0,4
38,17463,13,3,219,1,$26 K,0,4
39,15058,22,3,276,1,$30 K,0,4
40,16110,42,3,354,1,$21 K,0,4
41,13047,28,3,196,1,$37 K,0,4
42,12359,4,3,254,1,$43 K,0,4
43,15059,37,3,239,1,$16 K,0,4
44,15356,28,3,519,1,$43 K,0,4
45,17954,2,3,489,1,$46 K,0,4
46,13230,1,3,612,1,$45 K,0,4
47,16719,11,3,203,1,$32 K,0,4
48,13610,9,3,228,1,$13 K,0,4
49,14506,14,3,316,1,$19 K,0,4
50,17449,42,3,220,1,$30 K,0,4
51,14180,7,3,248,1,$20 K,0,4
52,14524,28,3,203,1,$17 K,0,4
53,14903,18,3,364,1,$44 K,0,4
54,13975,28,3,340,1,$44 K,0,4
55,16771,30,3,255,1,$38 K,0,4
56,16005,9,3,218,1,$9 K,0,4
57,14071,0,3,324,1,$25 K,0,4
58,16728,43,3,269,1,$19 K,0,4
59,16115,6,3,284,1,$27 K,0,4
60,14711,7,3,359,1,$24 K,0,4
61,17019,8,3,234,1,$23 K,0,4
62,15021,5,3,479,1,$23 K,0,4
63,14410,12,3,287,1,$17 K,0,4
64,16657,6,3,208,1,$31 K,0,4
65,15572,1,3,215,1,$33 K,0,4
66,14546,1,3,417,1,$36 K,0,4
67,16241,6,3,662,1,$39 K,0,4
68,17690,27,3,258,1,$49 K,0,4
69,14030,15,3,243,1,$37 K,0,4
70,15271,4,3,275,1,$36 K,0,4
71,18069,23,3,472,1,$36 K,0,4
72,13735,21,3,208,1,$31 K,0,4
73,15436,9,3,329,1,$16 K,0,4
74,17211,23,3,213,1,$36 K,0,4
75,15622,40,3,199,1,$45 K,0,4
76,14040,37,3,241,1,$39 K,0,4
77,14684,22,3,421,1,$24 K,0,4
78,17323,12,3,204,1,$22 K,0,4
79,17634,33,3,297,1,$24 K,0,4
80,12749,0,3,231,1,$40 K,0,4
81,15521,33,3,200,1,$41 K,0,4
82,15907,0,3,249,1,$13 K,0,4
83,13232,9,3,207,1,$17 K,0,4
84,15910,12,3,247,1,$24 K,0,4
85,16813,5,3,449,1,$33 K,0,4
86,13527,30,3,224,1,$47 K,0,4
87,18283,0,3,756,1,$39 K,0,4
88,12517,25,3,286,1,$39 K,0,4
89,16942,9,3,283,1,$22 K,0,4
90,16938,5,3,242,1,$26 K,0,4
91,14704,8,3,415,1,$32 K,0,4
92,14808,36,3,256,1,$46 K,0,4
93,14583,2,3,330,1,$22 K,0,4
94,16326,2,3,320,1,$20 K,0,4
95,16794,7,3,257,1,$21 K,0,4
96,14044,23,3,209,1,$9 K,0,4
97,16744,8,3,242,1,$21 K,0,4
98,14178,5,3,327,1,$38 K,0,4
99,16764,0,3,718,1,$36 K,0,4
100,16464,16,3,236,1,$21 K,0,4
101,17625,15,3,315,1,$37 K,0,4
102,15453,32,3,256,1,$21 K,0,4
103,14530,22,3,216,1,$29 K,0,4
104,13571,9,3,341,1,$49 K,0,4
105,14713,6,3,341,1,$46 K,0,4
106,16791,26,3,322,1,$22 K,0,4
107,14498,39,3,193,1,$30 K,0,4
108,17777,21,3,194,1,$14 K,0,4
109,12449,19,3,191,1,$46 K,0,4
110,16910,1,3,547,1,$25 K,0,4
111,13614,21,3,201,1,$15 K,0,4
112,14446,25,3,219,1,$19 K,0,4
113,14395,42,3,296,1,$41 K,0,4
114,16049,37,3,312,1,$20 K,0,4
115,17609,37,3,238,1,$20 K,0,4
116,16007,44,3,385,1,$39 K,0,4
117,14502,16,3,631,1,$43 K,0,4
118,15707,32,3,214,1,$16 K,0,4
119,17813,11,3,378,1,$22 K,0,4
120,12856,4,3,317,1,$27 K,0,4
121,13755,6,3,318,1,$30 K,0,4
122,18096,8,3,213,1,$20 K,0,4
123,18122,5,3,364,1,$30 K,0,4
124,14554,7,3,216,1,$35 K,0,4
125,16474,4,3,368,1,$27 K,0,4
126,17571,47,3,299,1,$26 K,0,4
127,13471,2,3,256,1,$42 K,0,4
128,15427,30,3,306,1,$28 K,0,4
129,17870,11,3,230,1,$26 K,0,4
130,15443,9,3,330,1,$39 K,0,4
